,Month Submitted,Year Submitted,lastpage. Last page,Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate,"FCV, BEV Dummy",Model Year,Manufacturer,Model
5488,5,2015,43.0,0,0,0,0,75000.0,2,1,1,2,453.7,0,21.34,4,45,0,2,12600,1.0,2013,Nissan,Leaf
5493,5,2015,43.0,0,0,1,0,425000.0,-2,0,1,4,145.84,5,20.87,5,45,0,3,8506,1.0,2014,Tesla,Model S
5500,5,2015,43.0,0,0,0,0,75000.0,1,1,1,4,669.92,0,5.05,2,65,0,2,3505,1.0,2013,Nissan,Leaf
5504,5,2015,43.0,0,0,0,0,325000.0,-3,1,0,4,756.91,0,26.32,2,35,0,2,9818,1.0,2013,Nissan,Leaf
5509,5,2015,43.0,0,0,1,0,275000.0,2,1,1,4,245.01,0,2.77,3,55,1,2,10578,1.0,2013,Nissan,Leaf
5513,5,2015,43.0,1,0,0,0,175000.0,2,1,1,3,114.17,0,11.55,4,45,0,3,8609,1.0,2012,Nissan,Leaf
5514,5,2015,43.0,0,0,1,0,75000.0,2,1,0,4,149.55,0,9.8,2,25,1,2,8771,1.0,2013,Smart,fortwo
5515,5,2015,43.0,0,0,0,0,175000.0,1,1,0,4,210.0,0,10.32,2,35,0,2,17724,1.0,2014,Fiat,500e
5521,5,2015,43.0,0,0,0,0,75000.0,2,1,1,4,598.29,8,6.68,3,55,1,3,13333,1.0,2013,Tesla,Model S
5522,5,2015,43.0,0,0,0,0,125000.0,2,1,0,3,75.11,4,0.5,2,55,0,1,3777,1.0,2012,Toyota,RAV4 EV
5523,5,2015,43.0,1,0,0,0,175000.0,0,1,1,2,182.8,0,33.56,5,55,0,3,14465,1.0,2014,Ford,Focus
5531,5,2015,43.0,0,0,0,0,125000.0,2,1,1,4,356.87,0,21.2,4,45,1,2,8897,1.0,2013,Nissan,Leaf
